age,comprehension,production,isnorming,birthorder,caregivereducation,race,sex,monolingual
14,140,26,TRUE,First,Some College,White,Female,TRUE
14,35,10,TRUE,Second,Some College,White,Male,TRUE
10,118,5,TRUE,First,Some Graduate,White,Male,TRUE
15,221,7,TRUE,Second,Some College,White,Female,TRUE
14,151,13,TRUE,First,College,White,Male,TRUE
10,31,4,TRUE,First,Some College,White,Male,TRUE
10,33,3,TRUE,First,Some College,White,Male,TRUE
15,101,3,TRUE,Second,College,Other,Male,TRUE
11,34,14,TRUE,First,College,White,Female,TRUE
10,107,0,TRUE,Second,College,White,Female,TRUE
13,45,0,TRUE,Third,Some College,White,Male,TRUE
13,45,1,TRUE,Second,Some College,White,Male,TRUE
11,74,0,TRUE,First,Secondary,White,Female,TRUE
15,256,167,TRUE,Second,Some College,White,Female,TRUE
15,47,2,TRUE,Third,College,Black,Female,TRUE
16,171,28,TRUE,First,College,White,Male,TRUE
11,183,16,TRUE,Second,College,White,Female,TRUE
15,117,10,TRUE,Second,Some College,White,Male,TRUE
11,106,0,TRUE,First,College,White,Male,TRUE
12,87,10,TRUE,Second,College,White,Female,TRUE
12,131,26,TRUE,First,Secondary,White,Male,TRUE
11,40,11,TRUE,Second,Secondary,White,Female,TRUE
11,231,11,TRUE,First,Secondary,White,Male,TRUE
14,227,35,TRUE,Second,College,White,Female,TRUE
16,102,38,TRUE,Second,Secondary,White,Female,TRUE
11,42,2,TRUE,First,Some College,White,Male,TRUE
15,54,18,TRUE,First,Secondary,White,Male,TRUE
15,378,155,TRUE,First,College,White,Male,TRUE
12,82,23,TRUE,First,College,White,Male,TRUE
9,134,13,TRUE,Third,Secondary,White,Female,TRUE
12,161,40,TRUE,Second,Secondary,Black,Male,TRUE
15,80,30,TRUE,First,College,White,Male,TRUE
12,46,0,TRUE,First,Secondary,White,Male,TRUE
12,102,4,TRUE,Third,Some College,White,Female,TRUE
16,223,26,TRUE,First,Some College,White,Male,TRUE
16,40,2,TRUE,First,Graduate,White,Female,TRUE
16,150,56,TRUE,First,Some College,White,Female,TRUE
17,256,23,TRUE,First,Graduate,White,Male,TRUE
10,34,4,TRUE,First,Some College,White,Female,TRUE
16,121,40,TRUE,Second,College,White,Female,TRUE
17,237,34,TRUE,First,College,White,Female,TRUE
16,237,53,TRUE,First,Some College,White,Female,TRUE
16,111,30,TRUE,First,Graduate,White,Male,TRUE
16,127,10,TRUE,First,Some College,White,Male,TRUE
16,181,39,TRUE,First,Some College,White,Female,TRUE
16,325,187,TRUE,Second,Secondary,White,Female,TRUE
16,154,31,TRUE,First,Graduate,White,Female,TRUE
11,80,0,TRUE,Second,Some College,White,Female,TRUE
